,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,preferred_liq,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-02-28,45135.66,90859.0,750.41,7623000.0,,0.0004,4100980931.9400005,10229353900.0,,,,5720375430.0,,0.011919060737242556,False,False
2021-03-01,49587.03,90859.0,782.44,7623000.0,,0.0005,4505427958.7699995,10229353900.0,,,,5964540120.0,,0.011919060737242556,False,False
2021-03-02,48440.65,90859.0,748.5,7623000.0,,0.0004,4401269018.35,10229353900.0,,,,5705815500.0,,0.011919060737242556,False,False
2021-03-03,50349.37,90859.0,731.57,7623000.0,,0.0005,4574693408.83,10229353900.0,,,,5576758110.0,,0.011919060737242556,False,False
2021-03-04,48374.09,90859.0,645.66,7623000.0,,0.0004,4395221443.309999,10229353900.0,,,,4921866180.0,,0.011919060737242556,False,False
2021-03-05,48751.71,91064.0,620.24,7623000.0,,0.0004,4439525719.44,10229353900.0,,,,4728089520.0,,0.011945953036862128,False,False
2021-03-06,48882.2,91064.0,620.24,7623000.0,,0.0004,4451408660.8,10229353900.0,,,,4728089520.0,,0.011945953036862128,False,False
2021-03-07,50971.75,91064.0,620.24,7623000.0,,0.0004,4641691442.0,10229353900.0,,,,4728089520.0,,0.011945953036862128,False,False
2021-03-08,52375.17,91064.0,624.19,7623000.0,,0.0005,4769492480.88,10229353900.0,,,,4758200370.0,,0.011945953036862128,False,False
2021-03-09,54884.5,91064.0,715.99,7623000.0,,0.0005,4998002108.0,10229353900.0,,,,5457991770.0,,0.011945953036862128,False,False
2021-03-10,55851.59,91064.0,756.55,7623000.0,,0.0004,5086069191.759999,10229353900.0,,,,5767180650.0,,0.011945953036862128,False,False
2021-03-11,57773.16,91064.0,803.75,7623000.0,,0.0004,5261055042.240001,10229353900.0,,,,6126986250.0,,0.011945953036862128,False,False
2021-03-12,57221.72,91326.0,784.0,7623000.0,,0.0004,5225830800.72,10229353900.0,,,,5976432000.0,,0.011980322707595435,False,False
2021-03-13,61188.39,91326.0,784.0,7623000.0,,0.0004,5588090905.14,10229353900.0,,,,5976432000.0,,0.011980322707595435,False,False
2021-03-14,58968.31,91326.0,784.0,7623000.0,,0.0004,5385339879.059999,10229353900.0,,,,5976432000.0,,0.011980322707595435,False,False
2021-03-15,55605.2,91326.0,769.01,7623000.0,,0.0004,5078200495.2,10229353900.0,,,,5862163230.0,,0.011980322707595435,False,False
2021-03-16,56900.75,91326.0,724.29,7623000.0,,0.0002,5196517894.5,10229353900.0,,,,5521262670.0,,0.011980322707595435,False,False
2021-03-17,58912.97,91326.0,770.99,7623000.0,,0.0002,5380285898.22,10229353900.0,,,,5877256770.0,,0.011980322707595435,False,False
2021-03-18,57648.16,91326.0,732.05,7623000.0,,0.0001,5264775860.16,10229353900.0,,,,5580417150.0,,0.011980322707595435,False,False
2021-03-19,58030.01,91326.0,777.04,7623000.0,,0.0001,5299648693.26,10229353900.0,,,,5923375920.0,,0.011980322707595435,False,False
2021-03-20,58102.28,91326.0,777.04,7623000.0,,0.0001,5306248823.28,10229353900.0,,,,5923375920.0,,0.011980322707595435,False,False
2021-03-21,57351.56,91326.0,777.04,7623000.0,,0.0001,5237688568.559999,10229353900.0,,,,5923375920.0,,0.011980322707595435,False,False
2021-03-22,54083.25,91326.0,724.56,7623000.0,,0.0003,4939206889.5,10229353900.0,,,,5523320880.0,,0.011980322707595435,False,False
2021-03-23,54340.89,91326.0,677.21,7623000.0,,0.0001,4962736120.14,10229353900.0,,,,5162371830.0,,0.011980322707595435,False,False
2021-03-24,52303.65,91326.0,621.57,7623000.0,,0.0002,4776683139.900001,10229353900.0,,,,4738228110.0,,0.011980322707595435,False,False
2021-03-25,51293.78,91326.0,620.91,7623000.0,,0.0002,4684455752.28,10229353900.0,,,,4733196930.0,,0.011980322707595435,False,False
2021-03-26,55025.59,91326.0,624.0,7623000.0,,0.0002,5025267032.34,10229353900.0,,,,4756752000.0,,0.011980322707595435,False,False
2021-03-27,55817.14,91326.0,624.0,7623000.0,,0.0002,5097556127.64,10229353900.0,,,,4756752000.0,,0.011980322707595435,False,False
2021-03-28,55777.63,91326.0,624.0,7623000.0,,0.0002,5093947837.38,10229353900.0,,,,4756752000.0,,0.011980322707595435,False,False
2021-03-29,57635.47,91326.0,631.34,7623000.0,,0.0003,5263616933.22,10229353900.0,,,,4812704820.0,,0.011980322707595435,False,False
2021-03-30,58746.57,91326.0,653.98,7623000.0,,0.0002,5365089251.82,10229353900.0,,,,4985289540.0,,0.011980322707595435,False,False
2021-03-31,58740.55,91326.0,678.8,7623000.0,1754414000.0,0.0003,5364539469.3,10229353900.0,-6619228430.7,0.0,1.0,5174492400.0,22.36700708433048,0.011980322707595435,True,False
2021-04-01,58720.44,91326.0,703.56,7623000.0,1754414000.0,0.0002,5362702903.440001,10229353900.0,-6621064996.559999,0.0,1.0,5363237880.0,22.402833711734534,0.011980322707595435,True,False
2021-04-02,58950.01,91326.0,703.56,7623000.0,1754414000.0,0.0002,5383668613.26,10229353900.0,-6600099286.74,0.0,1.0,5363237880.0,22.402833711734534,0.011980322707595435,True,False
2021-04-03,57051.94,91579.0,703.56,7623000.0,1754414000.0,0.0002,5224759613.26,10229353900.0,-6759008286.74,0.0,1.0,5363237880.0,22.402833711734534,0.012013511740784468,True,False
2021-04-04,58202.01,91579.0,703.56,7623000.0,1754414000.0,0.0002,5330081873.79,10229353900.0,-6653686026.21,0.0,1.0,5363237880.0,22.402833711734534,0.012013511740784468,True,False
2021-04-05,59129.99,91579.0,720.55,7623000.0,1754414000.0,0.0003,5415065354.21,10229353900.0,-6568702545.79,0.0,1.0,5492752650.0,22.426695360254783,0.012013511740784468,True,False
2021-04-06,57991.15,91579.0,704.58,7623000.0,1754414000.0,0.0002,5310771525.85,10229353900.0,-6672996374.15,0.0,1.0,5371013340.0,22.404282431575457,0.012013511740784468,True,False
2021-04-07,55953.45,91579.0,656.2,7623000.0,1754414000.0,0.0002,5124160997.55,10229353900.0,-6859606902.45,0.0,1.0,5002212600.0,22.33314617149741,0.012013511740784468,True,False
2021-04-08,58077.52,91579.0,690.12,7623000.0,1754414000.0,0.0001,5318681204.08,10229353900.0,-6665086695.92,0.0,1.0,5260784760.0,22.383546046484074,0.012013511740784468,True,False
2021-04-09,58142.54,91579.0,711.0,7623000.0,1754414000.0,0.0002,5324635670.66,10229353900.0,-6659132229.34,0.0,1.0,5419953000.0,22.413352980773652,0.012013511740784468,True,False
